request,indonesia_pct,global_median_pct,global_mean_pct,n_countries,gap_pp,ratio
"Adjust text length to meet specific word, character, or page requirements",0.1386577925679423,0.14091939861066244,0.17368023315423903,19,-0.0022616060427201323,0.9839510666024869
Analyze and critique existing literary works and texts,0.1552967276760954,0.20534082544062895,0.22126921661449253,21,-0.05004409776453356,0.7562876371167456
Analyze and extract structured data from technical documents and files,0.1386577925679423,0.1652892561983471,0.16895442666371552,24,-0.026631463630404806,0.838879645036051
Analyze and identify content in shared images,0.1386577925679423,0.17639261732011086,0.18226413614479858,25,-0.03773482475216855,0.7860748067268101
Analyze and interpret uploaded image content,0.3549639489739323,0.1377530305666724,0.1665620518571779,20,0.2172109184072599,2.576814081793503
Analyze and optimize system performance monitoring and operational metrics,0.0998336106489184,0.1370989854675075,0.13617540978678203,18,-0.03726537481858912,0.7281863560732109
Analyze business data and create performance reports with insights,0.1331114808652246,0.1964154186103609,0.19511985103297408,24,-0.06330393774513632,0.6777038269550747
Analyze code for security vulnerabilities and implement security measures,0.1275651691625069,0.17282973912271105,0.17623817766501762,25,-0.04526456996020414,0.7380973309919435
Analyze company financial data and create comprehensive reports,0.1941209095951192,0.185196862098232,0.18993610566153996,22,0.008924047496887216,1.0481868180474556
Analyze controversial political topics and polarizing social issues,0.160843039378813,0.16040872173707885,0.1679119343933234,19,0.00043431764173415544,1.0027075687470788
Analyze documents and create audit reports and compliance assessments,0.1941209095951192,0.15314942870309556,0.16834091908876456,19,0.040971480892023654,1.267526175180538
Analyze fictional media content and develop character profiles,0.1386577925679423,0.2230984746290339,0.2436091116545952,26,-0.0844406820610916,0.6215093706870978
"Analyze geopolitical conflicts, wars, and international security issues",0.2551303383250138,0.1739187504101857,0.1808726608254625,22,0.0812115879148281,1.4669513075691456
"Analyze international trade policies, tariffs, and economic impacts",0.1552967276760954,0.1017260615606746,0.11186348993794552,14,0.0535706661154208,1.526616928774624
Answer multiple unrelated questions across diverse topics,0.3161397670549085,0.2489689644031396,0.2663402004350081,33,0.06717080265176889,1.269795887261689
Build and develop AI chatbot systems and conversational applications,0.2107598447032723,0.2544339311597584,0.27576153563124445,32,-0.04367408645648607,0.828348026313113
Build and develop complete Flutter mobile applications with full features,0.2551303383250138,0.2771699489423778,0.33906985347558655,21,-0.02203961061736398,0.9204834048515631
Build complete React applications and websites from scratch,0.088740987243483,0.1095287456809822,0.15203336696100825,15,-0.020787758437499193,0.8102072811273997
Build comprehensive e-commerce systems and platform integrations,0.1885745978924015,0.1807689633595216,0.1831933680496629,24,0.007805634532879885,1.0431801698024659
Build functional web applications and interactive HTML tools,0.2107598447032723,0.1944647990530409,0.21883569986428994,24,0.016295045650231404,1.0837943202552915
Build healthcare technology applications and digital medical systems,0.2828618968386023,0.3038282357707109,0.29020067903622626,34,-0.020966338932108586,0.9309927897947866
"Calculate financial returns, interest rates, and business profit margins",0.160843039378813,0.2294375304178544,0.2601853215893402,31,-0.06859449103904139,0.7010319501168084
Check if my sentence or text is grammatically correct,0.1663893510815307,0.194300518134715,0.21002167545140765,24,-0.027911167053184305,0.8563505268996114
Compare two items and analyze their differences or similarities,0.0942872989462007,0.1909080062045102,0.20526830558340273,28,-0.0966207072583095,0.4938886577925676
Complete nursing assignments and hospital administrative documents,0.5268996117581808,0.15499968146854445,0.23253888347273113,21,0.3718999302896363,3.399359319748728
Conduct comprehensive financial analysis and strategic business planning,0.1830282861896838,0.15905543363356717,0.17210920203135557,21,0.02397285255611664,1.1507201106461125
Conduct performance evaluations and create assessment frameworks,0.160843039378813,0.1468716341917164,0.15149552791004664,18,0.013971405187096608,1.0951266407838784
"Configure proxy servers, tunnels, and port forwarding for remote access",0.0998336106489184,0.1079102937036689,0.11813796529088107,16,-0.00807668305475051,0.9251537292917598
"Convert, implement, or create web components using Tailwind CSS",0.1941209095951192,0.209366391184573,0.23764559771450705,11,-0.015245481589453797,0.9271827655661615
"Correct grammar, spelling, and punctuation errors in documents and texts",0.14420410427066,0.319536343999677,0.3525034477702503,36,-0.17533223972901701,0.45129171369252996
"Create and analyze humorous content, jokes, and witty responses",0.1109262340543538,0.1811416821697836,0.1983693387629447,23,-0.0702154481154298,0.6123727721065488
Create and design business logos with specific requirements,0.160843039378813,0.1386444835492987,0.1567612305427903,22,0.0221985558295143,1.1601113528734162
Create and develop complete games and game development projects,0.232945091514143,0.3488879197557785,0.3690311046154656,45,-0.11594282824163549,0.6676788685524123
Create and fix web animations and visual effects for websites,0.0831946755407653,0.11208896307678665,0.13072751745817476,16,-0.028894287536021343,0.7422200478719096
Create and improve educational research papers and teaching materials,0.5601774819744869,0.1853467073702573,0.24501635791576892,23,0.37483077460422964,3.022322273335291
Create and improve organizational promotional content and communications,0.2939545202440377,0.25351904687097254,0.2470257039026216,34,0.040435473373065134,1.1594967868179333
Create and improve web scraping scripts for automated data extraction,0.1220188574597892,0.15299817242597602,0.17889139582142535,25,-0.03097931496618682,0.7975183985862622
Create and manage technical documentation systems and workflows,0.1164725457570715,0.2017453317068593,0.21653200280090287,30,-0.0852727859497878,0.5773246140154006
Create and modify Google Apps Script automation workflows,0.1220188574597892,0.0845619071240369,0.114452273791664,10,0.037456950335752304,1.4429529986925411
Create and modify PowerPoint presentations and slides,0.3993344425956739,0.16769448182005509,0.19044707749588025,19,0.23163996077561883,2.3813213068285726
Create and modify process flowcharts and workflow diagrams,0.2995008319467554,0.1246988805441405,0.15064951418446396,15,0.17480195140261492,2.401792467100289
Create and optimize professional profiles and user management interfaces,0.088740987243483,0.07209593439872419,0.08904337843628629,8,0.016645052844758812,1.2308736683084498
Create and optimize prompts for AI image generation tools,0.1497504159733777,0.18515307389884061,0.21180431798163674,25,-0.035402657925462905,0.8087924916396185
Create and optimize social media posts and marketing content,0.160843039378813,0.3016177680285166,0.2996498945151996,37,-0.14077472864970358,0.53326778601321
Create budget tracking and expense management tools and systems,0.1386577925679423,0.15105007382208513,0.16816136128964193,21,-0.012392281254142823,0.9179591181879254
Create children's stories and age-appropriate educational literature,0.1275651691625069,0.0969903965028025,0.10357254894966098,13,0.030574772659704402,1.31523505173856
Create complete HTML web pages and website templates from scratch,0.1663893510815307,0.1636795155086341,0.18262858600773377,24,0.002709835572896585,1.0165557404326118
Create complete business websites and landing pages from scratch,0.2662229617304492,0.2085795731071403,0.24971729523793845,30,0.057643388623308894,1.2763616195230174
Create comprehensive business documents and formal strategic reports,0.2551303383250138,0.2626272977416533,0.28963374370220346,36,-0.00749695941663947,0.9714539978094195
Create comprehensive educational curricula and academic program materials,0.5712701053799224,0.20706116529418694,0.2900083265620528,35,0.36420894008573546,2.7589437380412556
Create comprehensive marketing materials and promotional content packages,0.1164725457570715,0.2976744186046511,0.3151139713698703,38,-0.1812018728475796,0.39127495840266213
Create comprehensive quiz and exam systems with interactive features,0.28840820854132,0.1672098625478248,0.25604314251155474,28,0.12119834599349519,1.7248277353187254
Create custom visual designs and graphics for personal projects,0.1331114808652246,0.1349663784822286,0.14816169060259837,22,-0.0018548976170039977,0.9862565948804187
"Create database schemas, mind maps, and relationship diagrams",0.160843039378813,0.080954035006516,0.12232368969521774,13,0.079889004372297,1.9868440080332836
Create detailed lesson plans and educational materials for K-12 classrooms,0.64891846921797,0.197164585484931,0.3397977058073454,23,0.45175388373303904,3.291252674114571
Create language tests and solve exam questions for students,0.6988352745424293,0.17560406627428785,0.5386819735752353,19,0.5232312082681415,3.9796075875080894
Create mathematics educational materials and teaching resources,0.2828618968386023,0.15749413827072628,0.21713841607597384,23,0.12536775856787602,1.7960153942515227
Create modern website designs with visual effects and animations,0.4270660011092623,0.2507631923244657,0.32535996994645855,36,0.1763028087847966,1.7030649400757194
