geo_id,JobFamily,country_penetration,n_tasks,global_exposure,n_occupations,gap,world_median_gap
ID,Sales and Related,0.24424834541443421,3,0.236095,20,-0.008153345414434215,-0.31175014243973703
ID,Management,0.14654900724866055,5,0.09698333333333334,30,-0.04956567391532721,-0.2102163897542402
ID,"Life, Physical, and Social Science",0.2097778127954617,8,0.13235135135135137,37,-0.07742646144411033,-0.144132932699871
ID,Architecture and Engineering,0.1418216199180586,1,0.03807058823529412,34,-0.10375103168276449,-0.18998030678510217
ID,Healthcare Practitioners and Technical,0.14182161991805858,2,0.026411627906976744,43,-0.11540999201108185,-0.12522168844591441
ID,"Installation, Maintenance, and Repair",0.1418216199180586,1,0.00712,50,-0.13470161991805862,-0.17501490113978974
ID,Food Preparation and Serving Related,0.1497005988023952,1,0.0101,14,-0.1396005988023952,-0.1689281329923273
ID,Personal Care and Service,0.1812165143397415,1,0.018,24,-0.16321651433974152,-0.060656134453898704
ID,"Education, Training, and Library",0.30434616343177984,239,0.123575,52,-0.18077116343177985,-1.0646387132091686
ID,Office and Administrative Support,0.38449416955562554,10,0.19056599999999999,50,-0.19392816955562556,-0.7375547030761478
ID,"Farming, Fishing, and Forestry",0.2127324298770879,1,0.0018454545454545453,11,-0.21088697533163336,-0.46381228701449884
ID,"Arts, Design, Entertainment, Sports, and Media",0.4297073868457417,13,0.1340375,32,-0.2956698868457417,-0.6567480863478923
ID,Community and Social Service,0.40970690198550264,4,0.051616666666666665,12,-0.358090235318836,-0.6759735545207606
